screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
PedroCapetti,2020-01-18T17:43:08Z,@bmlouzada Daqui a pouco chego aí então,0,1,bmlouzada,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1218589655370731521
PedroCapetti,2020-01-17T14:43:20Z,RT @_fiquemsabendo: O @luciovaz cruzou os dados da base revelada pelo FS com documento do @exercitooficial obtido por ele em 2017 e revela na @gazetadopovo que o governo omitiu informações sobre filhas de militares; a possível diferença é de R$ 10 mi para 377 milhões por mês https://t.co/BlwtvXXEzq https://t.co/V9lhSXxtOa,7,0,,_fiquemsabendo,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter Web App,pt,1218182018338578432
PedroCapetti,2020-01-14T21:19:10Z,"RT @pessoagabi: Obtive um conjunto de relatórios diários enviados pelo Ibama ao Ministério do Meio Ambiente no começo do desastre ambiental no NE. Documentos e análises no ⁦@nucleojor⁩, com meu parceiro e mago ⁦@rodolfoalmd⁩: https://t.co/xjdBBz6Cmd",27,0,,pessoagabi,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter Web App,pt,1217194469029793797
PedroCapetti,2020-01-14T02:52:53Z,"RT @agsportlight: EXCLUSIVO!
Tem bomba no ar!
Novo mecenas do futebol brasileiro fez fortuna com clonagem de cartão. Compliance dos clubes ignorou histórico e condenações por lavagem e fraudes. Leia: 

https://t.co/3L14lhTtEB https://t.co/oFcvqtI3dy",722,0,,agsportlight,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",TweetDeck,pt,1216916062043807749
PedroCapetti,2020-01-13T22:30:18Z,"RT @_fiquemsabendo: O presidente @jairbolsonaro publicou que ele teria mandado abrir os dados de remuneração de pensionistas ""em defesa do interesse público e do combate à corrupção"". Estes dados só foram publicados por decisão do @TCUoficial - após o órgão acatar denúncia feita pelo FS há 3 anos https://t.co/Tf0mSDLYSL",425,0,,_fiquemsabendo,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1216849982508105729
PedroCapetti,2020-01-13T16:06:21Z,"RT @ntlportinari: lembrar é viver... Petra Costa adultera foto e exclui armas em cena de ""Democracia em Vertigem"" https://t.co/xcH2qleJuw",1143,0,,ntlportinari,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1216753358846992385
PedroCapetti,2020-01-13T02:48:49Z,"RT @felipe_grandin: ""silêncio""

G1: https://t.co/813ffofrq9

JN: 
https://t.co/NdZYxqbJeH

JH: https://t.co/2loRsrbQ78

GNews: https://t.co/rREwL7pPLZ

Globo: https://t.co/TQvhM1dgAG

Folha: https://t.co/rzTThGUdGn

Estadão: https://t.co/4bGSE03yZv https://t.co/1K9Ev5B6gi",151,0,,felipe_grandin,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1216552653653729288
PedroCapetti,2020-01-09T13:36:20Z,"RT @sfgustavo: Zeina Letif, que acaba de anunciar a sua saída da @xpinvestimentos, ao @valorinveste: “Hoje é uma empresa que tem uma missão de crescer no varejo. (...) É outra linguagem, outro tipo de relatório, e não é por aí que gostaria de seguir”. (continua👇) https://t.co/tXEFQgWH7k",73,0,,sfgustavo,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1215266055574245378
PedroCapetti,2020-01-09T13:24:27Z,@UrbanDemog Isso é muito bacana! Te mandei uma DM,0,1,UrbanDemog,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter for Android,pt,1215263063835922432
PedroCapetti,2020-01-06T14:45:44Z,Essa história é sensacional! https://t.co/fWVxD1HSTo,0,1,,,"Mineiro de Itajubá | Repórter do @jornaloglobo e do @jornalextra. Antes, @tribunademinas e outros projetos por aí...",Twitter Web App,pt,1214196354785980416
